"","mots","ngrammot","motifs","Oeuvre"
"3358","ne","ne vous l' a","ne vous le avoir","Flaubert-Bovary"
"3359","vous","vous l' a pas","vous le avoir pas","Flaubert-Bovary"
"3360","l'","l' a pas volée","le avoir pas PPAS","Flaubert-Bovary"
"3361","a","a pas volée !","avoir pas PPAS !","Flaubert-Bovary"
"3362","pas","pas volée ! Tout","pas PPAS ! tout","Flaubert-Bovary"
"3363","volée","volée ! Tout reprit","PPAS ! tout VPS","Flaubert-Bovary"
"3364","!","! Tout reprit son","! tout VPS DETPOSS","Flaubert-Bovary"
"3365","Tout","Tout reprit son calme","tout VPS DETPOSS NCABS","Flaubert-Bovary"
"3366","reprit","reprit son calme .","VPS DETPOSS NCABS .","Flaubert-Bovary"
"3367","son","son calme . Les","DETPOSS NCABS . le","Flaubert-Bovary"
"3368","calme","calme . Les têtes","NCABS . le NCCOR","Flaubert-Bovary"
"3369",".",". Les têtes se",". le NCCOR se","Flaubert-Bovary"
"3370","Les","Les têtes se courbèrent","le NCCOR se PRES","Flaubert-Bovary"
"3371","têtes","têtes se courbèrent sur","NCCOR se PRES sur","Flaubert-Bovary"
"3372","se","se courbèrent sur les","se PRES sur le","Flaubert-Bovary"
"3373","courbèrent","courbèrent sur les cartons","PRES sur le NC","Flaubert-Bovary"
"3374","sur","sur les cartons ,","sur le NC ,","Flaubert-Bovary"
"3375","les","les cartons , et","le NC , et","Flaubert-Bovary"
"3376","cartons","cartons , et le","NC , et le","Flaubert-Bovary"
"3377",",",", et le nouveau",", et le ADJ","Flaubert-Bovary"
"3378","et","et le nouveau resta","et le ADJ VPS","Flaubert-Bovary"
"3379","le","le nouveau resta pendant","le ADJ VPS pendant","Flaubert-Bovary"
"3380","nouveau","nouveau resta pendant deux","ADJ VPS pendant NUM","Flaubert-Bovary"
"3381","resta","resta pendant deux heures","VPS pendant NUM NC","Flaubert-Bovary"
"3382","pendant","pendant deux heures dans","pendant NUM NC dans","Flaubert-Bovary"
"3383","deux","deux heures dans une","NUM NC dans un","Flaubert-Bovary"
"3384","heures","heures dans une tenue","NC dans un NC","Flaubert-Bovary"
"3385","dans","dans une tenue exemplaire","dans un NC ADJ","Flaubert-Bovary"
"3386","une","une tenue exemplaire ,","un NC ADJ ,","Flaubert-Bovary"
"3387","tenue","tenue exemplaire , quoiqu'","NC ADJ , quoique","Flaubert-Bovary"
"3388","exemplaire","exemplaire , quoiqu' il","ADJ , quoique il","Flaubert-Bovary"
"3389",",",", quoiqu' il y",", quoique il y","Flaubert-Bovary"
"3390","quoiqu'","quoiqu' il y eût","quoique il y avoir","Flaubert-Bovary"
"3391","il","il y eût bien","il y avoir bien","Flaubert-Bovary"
"3392","y","y eût bien ,","y avoir bien ,","Flaubert-Bovary"
"3393","eût","eût bien , de","avoir bien , de","Flaubert-Bovary"
"3394","bien","bien , de temps","bien , de NC","Flaubert-Bovary"
"3395",",",", de temps à",", de NC à","Flaubert-Bovary"
"3396","de","de temps à autre","de NC à ADV","Flaubert-Bovary"
"3397","temps","temps à autre ,","NC à ADV ,","Flaubert-Bovary"
"3398","à","à autre , quelque","à ADV , quelque","Flaubert-Bovary"
"3399","autre","autre , quelque boulette","ADV , quelque NC","Flaubert-Bovary"
"3400",",",", quelque boulette de",", quelque NC de","Flaubert-Bovary"
"3401","quelque","quelque boulette de papier","quelque NC de NC","Flaubert-Bovary"
"3402","boulette","boulette de papier lancée","NC de NC PPAS","Flaubert-Bovary"
"3403","de","de papier lancée d'","de NC PPAS de","Flaubert-Bovary"
"3404","papier","papier lancée d' un","NC PPAS de un","Flaubert-Bovary"
"3405","lancée","lancée d' un bec","PPAS de un NC","Flaubert-Bovary"
"3406","d'","d' un bec de","de un NC de","Flaubert-Bovary"
"3407","un","un bec de plume","un NC de NC","Flaubert-Bovary"
"3408","bec","bec de plume qui","NC de NC qui","Flaubert-Bovary"
"3409","de","de plume qui vînt","de NC qui PRES","Flaubert-Bovary"
"3410","plume","plume qui vînt s'","NC qui PRES se","Flaubert-Bovary"
"3411","qui","qui vînt s' éclabousser","qui PRES se INF","Flaubert-Bovary"
"3412","vînt","vînt s' éclabousser sur","PRES se INF sur","Flaubert-Bovary"
"3413","s'","s' éclabousser sur sa","se INF sur DETPOSS","Flaubert-Bovary"
"3414","éclabousser","éclabousser sur sa figure","INF sur DETPOSS NCCOR","Flaubert-Bovary"
"3415","sur","sur sa figure .","sur DETPOSS NCCOR .","Flaubert-Bovary"
"3416","sa","sa figure . Mais","DETPOSS NCCOR . mais","Flaubert-Bovary"
"3417","figure","figure . Mais il","NCCOR . mais il","Flaubert-Bovary"
"3418",".",". Mais il s'",". mais il se","Flaubert-Bovary"
"3419","Mais","Mais il s' essuyait","mais il se VIMP","Flaubert-Bovary"
"3420","il","il s' essuyait avec","il se VIMP avec","Flaubert-Bovary"
"3421","s'","s' essuyait avec la","se VIMP avec le","Flaubert-Bovary"
"3422","essuyait","essuyait avec la main","VIMP avec le NCCOR","Flaubert-Bovary"
"3423","avec","avec la main ,","avec le NCCOR ,","Flaubert-Bovary"
"3424","la","la main , et","le NCCOR , et","Flaubert-Bovary"
"3425","main","main , et demeurait","NCCOR , et VIMP","Flaubert-Bovary"
"3426",",",", et demeurait immobile",", et VIMP ADJ","Flaubert-Bovary"
"3427","et","et demeurait immobile ,","et VIMP ADJ ,","Flaubert-Bovary"
"3428","demeurait","demeurait immobile , les","VIMP ADJ , le","Flaubert-Bovary"
"3429","immobile","immobile , les yeux","ADJ , le NCCOR","Flaubert-Bovary"
"3430",",",", les yeux baissés",", le NCCOR PPAS","Flaubert-Bovary"
"3431","les","les yeux baissés .","le NCCOR PPAS .","Flaubert-Bovary"
"3432","yeux","yeux baissés . Le","NCCOR PPAS . le","Flaubert-Bovary"
"3433","baissés","baissés . Le soir","PPAS . le NC","Flaubert-Bovary"
"3434",".",". Le soir ,",". le NC ,","Flaubert-Bovary"
"3435","Le","Le soir , à","le NC , à","Flaubert-Bovary"
"3436","soir","soir , à l'","NC , à le","Flaubert-Bovary"
"3437",",",", à l' Étude",", à le NP","Flaubert-Bovary"
"3438","à","à l' Étude ,","à le NP ,","Flaubert-Bovary"
"3439","l'","l' Étude , il","le NP , il","Flaubert-Bovary"
"3440","Étude","Étude , il tira","NP , il VPS","Flaubert-Bovary"
"3441",",",", il tira ses",", il VPS DETPOSS","Flaubert-Bovary"
"3442","il","il tira ses bouts","il VPS DETPOSS NC","Flaubert-Bovary"
"3443","tira","tira ses bouts de","VPS DETPOSS NC de","Flaubert-Bovary"
"3444","ses","ses bouts de manches","DETPOSS NC de NC","Flaubert-Bovary"
"3445","bouts","bouts de manches de","NC de NC de","Flaubert-Bovary"
"3446","de","de manches de son","de NC de DETPOSS","Flaubert-Bovary"
"3447","manches","manches de son pupitre","NC de DETPOSS NC","Flaubert-Bovary"
"3448","de","de son pupitre ,","de DETPOSS NC ,","Flaubert-Bovary"
"3449","son","son pupitre , mit","DETPOSS NC , VPS","Flaubert-Bovary"
"3450","pupitre","pupitre , mit en","NC , VPS en","Flaubert-Bovary"
"3451",",",", mit en ordre",", VPS en NC","Flaubert-Bovary"
"3452","mit","mit en ordre ses","VPS en NC DETPOSS","Flaubert-Bovary"
"3453","en","en ordre ses petites","en NC DETPOSS ADJ","Flaubert-Bovary"
"3454","ordre","ordre ses petites affaires","NC DETPOSS ADJ NC","Flaubert-Bovary"
"3455","ses","ses petites affaires ,","DETPOSS ADJ NC ,","Flaubert-Bovary"
"3456","petites","petites affaires , régla","ADJ NC , VPS","Flaubert-Bovary"
"3457","affaires","affaires , régla soigneusement","NC , VPS ADVMAN","Flaubert-Bovary"
"3458",",",", régla soigneusement son",", VPS ADVMAN DETPOSS","Flaubert-Bovary"
"3459","régla","régla soigneusement son papier","VPS ADVMAN DETPOSS NC","Flaubert-Bovary"
"3460","soigneusement","soigneusement son papier .","ADVMAN DETPOSS NC .","Flaubert-Bovary"
"3461","son","son papier . Nous","DETPOSS NC . nous","Flaubert-Bovary"
"3462","papier","papier . Nous le","NC . nous le","Flaubert-Bovary"
"3463",".",". Nous le vîmes",". nous le NC","Flaubert-Bovary"
"3464","Nous","Nous le vîmes qui","nous le NC qui","Flaubert-Bovary"
"3465","le","le vîmes qui travaillait","le NC qui VIMP","Flaubert-Bovary"
"3466","vîmes","vîmes qui travaillait en","NC qui VIMP en","Flaubert-Bovary"
"3467","qui","qui travaillait en conscience","qui VIMP en NCABS","Flaubert-Bovary"
"3468","travaillait","travaillait en conscience ,","VIMP en NCABS ,","Flaubert-Bovary"
"3469","en","en conscience , cherchant","en NCABS , PPRES","Flaubert-Bovary"
"3470","conscience","conscience , cherchant tous","NCABS , PPRES tout","Flaubert-Bovary"
"3471",",",", cherchant tous les",", PPRES tout le","Flaubert-Bovary"
"3472","cherchant","cherchant tous les mots","PPRES tout le NC","Flaubert-Bovary"
"3473","tous","tous les mots dans","tout le NC dans","Flaubert-Bovary"
"3474","les","les mots dans le","le NC dans le","Flaubert-Bovary"
"3475","mots","mots dans le dictionnaire","NC dans le NC","Flaubert-Bovary"
"3476","dans","dans le dictionnaire et","dans le NC et","Flaubert-Bovary"
"3477","le","le dictionnaire et se","le NC et se","Flaubert-Bovary"
"3478","dictionnaire","dictionnaire et se donnant","NC et se PPRES","Flaubert-Bovary"
"3479","et","et se donnant beaucoup","et se PPRES beaucoup","Flaubert-Bovary"
"3480","se","se donnant beaucoup de","se PPRES beaucoup de","Flaubert-Bovary"
"3481","donnant","donnant beaucoup de mal","PPRES beaucoup de NC","Flaubert-Bovary"
"3482","beaucoup","beaucoup de mal .","beaucoup de NC .","Flaubert-Bovary"
"3483","de","de mal . Grâce","de NC . ADV","Flaubert-Bovary"
"3484","mal","mal . Grâce ,","NC . ADV ,","Flaubert-Bovary"
"3485",".",". Grâce , sans",". ADV , sans","Flaubert-Bovary"
"3486","Grâce","Grâce , sans doute","ADV , sans NCABS","Flaubert-Bovary"
"3487",",",", sans doute ,",", sans NCABS ,","Flaubert-Bovary"
"3488","sans","sans doute , à","sans NCABS , à","Flaubert-Bovary"
"3489","doute","doute , à cette","NCABS , à ce","Flaubert-Bovary"
"3490",",",", à cette bonne",", à ce ADJ","Flaubert-Bovary"
"3491","à","à cette bonne volonté","à ce ADJ NCABS","Flaubert-Bovary"
"3492","cette","cette bonne volonté dont","ce ADJ NCABS dont","Flaubert-Bovary"
"3493","bonne","bonne volonté dont il","ADJ NCABS dont il","Flaubert-Bovary"
"3494","volonté","volonté dont il fit","NCABS dont il VPS","Flaubert-Bovary"
"3495","dont","dont il fit preuve","dont il VPS NC","Flaubert-Bovary"
"3496","il","il fit preuve ,","il VPS NC ,","Flaubert-Bovary"
"3497","fit","fit preuve , il","VPS NC , il","Flaubert-Bovary"
"3498","preuve","preuve , il dut","NC , il VPS","Flaubert-Bovary"
"3499",",",", il dut de",", il VPS de","Flaubert-Bovary"
"3500","il","il dut de ne","il VPS de ne","Flaubert-Bovary"
"3501","dut","dut de ne pas","VPS de ne pas","Flaubert-Bovary"
"3502","de","de ne pas descendre","de ne pas INF","Flaubert-Bovary"
"3503","ne","ne pas descendre dans","ne pas INF dans","Flaubert-Bovary"
"3504","pas","pas descendre dans la","pas INF dans le","Flaubert-Bovary"
"3505","descendre","descendre dans la classe","INF dans le NC","Flaubert-Bovary"
"3506","dans","dans la classe inférieure","dans le NC ADJ","Flaubert-Bovary"
"3507","la","la classe inférieure ;","le NC ADJ ;","Flaubert-Bovary"
"3508","classe","classe inférieure ; car","NC ADJ ; car","Flaubert-Bovary"
"3509","inférieure","inférieure ; car ,","ADJ ; car ,","Flaubert-Bovary"
"3510",";","; car , s'","; car , si","Flaubert-Bovary"
"3511","car","car , s' il","car , si il","Flaubert-Bovary"
"3512",",",", s' il savait",", si il VIMP","Flaubert-Bovary"
"3513","s'","s' il savait passablement","si il VIMP ADVINT","Flaubert-Bovary"
"3514","il","il savait passablement ses","il VIMP ADVINT DETPOSS","Flaubert-Bovary"
"3515","savait","savait passablement ses règles","VIMP ADVINT DETPOSS NC","Flaubert-Bovary"
"3516","passablement","passablement ses règles ,","ADVINT DETPOSS NC ,","Flaubert-Bovary"
"3517","ses","ses règles , il","DETPOSS NC , il","Flaubert-Bovary"
"3518","règles","règles , il n'","NC , il ne","Flaubert-Bovary"
"3519",",",", il n' avait",", il ne avoir","Flaubert-Bovary"
"3520","il","il n' avait guère","il ne avoir guère","Flaubert-Bovary"
"3521","n'","n' avait guère d'","ne avoir guère de","Flaubert-Bovary"
"3522","avait","avait guère d' élégance","avoir guère de NCABS","Flaubert-Bovary"
"3523","guère","guère d' élégance dans","guère de NCABS dans","Flaubert-Bovary"
"3524","d'","d' élégance dans les","de NCABS dans le","Flaubert-Bovary"
"3525","élégance","élégance dans les tournures","NCABS dans le NC","Flaubert-Bovary"
"3526","dans","dans les tournures .","dans le NC .","Flaubert-Bovary"
"3527","les","les tournures . C'","le NC . ce","Flaubert-Bovary"
"3528","tournures","tournures . C' était","NC . ce être","Flaubert-Bovary"
"3529",".",". C' était le",". ce être le","Flaubert-Bovary"
"3530","C'","C' était le curé","ce être le NC","Flaubert-Bovary"
"3531","était","était le curé de","être le NC de","Flaubert-Bovary"
"3532","le","le curé de son","le NC de DETPOSS","Flaubert-Bovary"
"3533","curé","curé de son village","NC de DETPOSS NC","Flaubert-Bovary"
"3534","de","de son village qui","de DETPOSS NC qui","Flaubert-Bovary"
"3535","son","son village qui lui","DETPOSS NC qui lui","Flaubert-Bovary"
"3536","village","village qui lui avait","NC qui lui avoir","Flaubert-Bovary"
"3537","qui","qui lui avait commencé","qui lui avoir PPAS","Flaubert-Bovary"
"3538","lui","lui avait commencé le","lui avoir PPAS le","Flaubert-Bovary"
"3539","avait","avait commencé le latin","avoir PPAS le NC","Flaubert-Bovary"
"3540","commencé","commencé le latin ,","PPAS le NC ,","Flaubert-Bovary"
"3541","le","le latin , ses","le NC , DETPOSS","Flaubert-Bovary"
"3542","latin","latin , ses parents","NC , DETPOSS NC","Flaubert-Bovary"
"3543",",",", ses parents ,",", DETPOSS NC ,","Flaubert-Bovary"
"3544","ses","ses parents , par","DETPOSS NC , par","Flaubert-Bovary"
"3545","parents","parents , par économie","NC , par NC","Flaubert-Bovary"
"3546",",",", par économie ,",", par NC ,","Flaubert-Bovary"
"3547","par","par économie , ne","par NC , ne","Flaubert-Bovary"
"3548","économie","économie , ne l'","NC , ne le","Flaubert-Bovary"
"3549",",",", ne l' ayant",", ne le avoir","Flaubert-Bovary"
"3550","ne","ne l' ayant envoyé","ne le avoir PPAS","Flaubert-Bovary"
"3551","l'","l' ayant envoyé à","le avoir PPAS à","Flaubert-Bovary"
"3552","ayant","ayant envoyé à le","avoir PPAS à le","Flaubert-Bovary"
"3553","envoyé","envoyé à le collège","PPAS à le NC","Flaubert-Bovary"
"3554","à","à le collège que","à le NC que","Flaubert-Bovary"
"3555","le","le collège que le","le NC que le","Flaubert-Bovary"
"3556","collège","collège que le plus","NC que le plus","Flaubert-Bovary"
"3557","que","que le plus tard","que le plus tard","Flaubert-Bovary"
"3558","le","le plus tard possible","le plus tard ADJ","Flaubert-Bovary"
"3559","plus","plus tard possible .","plus tard ADJ .","Flaubert-Bovary"
"3560","tard","tard possible . Son","tard ADJ . DETPOSS","Flaubert-Bovary"
"3561","possible","possible . Son père","ADJ . DETPOSS NC","Flaubert-Bovary"
"3562",".",". Son père ,",". DETPOSS NC ,","Flaubert-Bovary"
"3563","Son","Son père , M.","DETPOSS NC , NC","Flaubert-Bovary"
"3564","père","père , M. Charles-Denis-Bartholomé","NC , NC NP","Flaubert-Bovary"
"3565",",",", M. Charles-Denis-Bartholomé Bovary",", NC NP NP","Flaubert-Bovary"
"3566","M.","M. Charles-Denis-Bartholomé Bovary ,","NC NP NP ,","Flaubert-Bovary"
"3567","Charles-Denis-Bartholomé","Charles-Denis-Bartholomé Bovary , ancien","NP NP , ADJ","Flaubert-Bovary"
"3568","Bovary","Bovary , ancien aide","NP , ADJ NC","Flaubert-Bovary"
"3569",",",", ancien aide -",", ADJ NC -","Flaubert-Bovary"
"3570","ancien","ancien aide - chirurgien-major","ADJ NC - NC","Flaubert-Bovary"
"3571","aide","aide - chirurgien-major ,","NC - NC ,","Flaubert-Bovary"
"3572","-","- chirurgien-major , compromis","- NC , PPAS","Flaubert-Bovary"
"3573","chirurgien-major","chirurgien-major , compromis ,","NC , PPAS ,","Flaubert-Bovary"
"3574",",",", compromis , vers",", PPAS , vers","Flaubert-Bovary"
"3575","compromis","compromis , vers 1812","PPAS , vers NUM","Flaubert-Bovary"
"3576",",",", vers 1812 ,",", vers NUM ,","Flaubert-Bovary"
"3577","vers","vers 1812 , dans","vers NUM , dans","Flaubert-Bovary"
"3578","1812","1812 , dans de","NUM , dans de","Flaubert-Bovary"
"3579",",",", dans de les",", dans de le","Flaubert-Bovary"
"3580","dans","dans de les affaires","dans de le NC","Flaubert-Bovary"
"3581","de","de les affaires de","de le NC de","Flaubert-Bovary"
"3582","les","les affaires de conscription","le NC de NC","Flaubert-Bovary"
"3583","affaires","affaires de conscription ,","NC de NC ,","Flaubert-Bovary"
"3584","de","de conscription , et","de NC , et","Flaubert-Bovary"
"3585","conscription","conscription , et forcé","NC , et PPAS","Flaubert-Bovary"
"3586",",",", et forcé ,",", et PPAS ,","Flaubert-Bovary"
"3587","et","et forcé , vers","et PPAS , vers","Flaubert-Bovary"
"3588","forcé","forcé , vers cette","PPAS , vers ce","Flaubert-Bovary"
"3589",",",", vers cette époque",", vers ce NC","Flaubert-Bovary"
"3590","vers","vers cette époque ,","vers ce NC ,","Flaubert-Bovary"
"3591","cette","cette époque , de","ce NC , de","Flaubert-Bovary"
"3592","époque","époque , de quitter","NC , de INF","Flaubert-Bovary"
"3593",",",", de quitter le",", de INF le","Flaubert-Bovary"
"3594","de","de quitter le service","de INF le NC","Flaubert-Bovary"
"3595","quitter","quitter le service ,","INF le NC ,","Flaubert-Bovary"
"3596","le","le service , alors","le NC , alors","Flaubert-Bovary"
"3597","service","service , alors profité","NC , alors PPAS","Flaubert-Bovary"
"3598",",",", alors profité de",", alors PPAS de","Flaubert-Bovary"
"3599","alors","alors profité de ses","alors PPAS de DETPOSS","Flaubert-Bovary"
"3600","profité","profité de ses avantages","PPAS de DETPOSS NC","Flaubert-Bovary"
"3601","de","de ses avantages personnels","de DETPOSS NC ADJ","Flaubert-Bovary"
"3602","ses","ses avantages personnels pour","DETPOSS NC ADJ pour","Flaubert-Bovary"
"3603","avantages","avantages personnels pour saisir","NC ADJ pour INF","Flaubert-Bovary"
"3604","personnels","personnels pour saisir à","ADJ pour INF à","Flaubert-Bovary"
"3605","pour","pour saisir à le","pour INF à le","Flaubert-Bovary"
"3606","saisir","saisir à le passage","INF à le PRES","Flaubert-Bovary"
"3607","à","à le passage une","à le PRES un","Flaubert-Bovary"
"3608","le","le passage une dot","le PRES un NC","Flaubert-Bovary"
"3609","passage","passage une dot de","PRES un NC de","Flaubert-Bovary"
"3610","une","une dot de soixante","un NC de NC","Flaubert-Bovary"
"3611","dot","dot de soixante francs","NC de NC NC","Flaubert-Bovary"
"3612","de","de soixante francs ,","de NC NC ,","Flaubert-Bovary"
"3613","soixante","soixante francs , qui","NC NC , qui","Flaubert-Bovary"
"3614","francs","francs , qui s'","NC , qui se","Flaubert-Bovary"
"3615",",",", qui s' offrait",", qui se VIMP","Flaubert-Bovary"
"3616","qui","qui s' offrait en","qui se VIMP en","Flaubert-Bovary"
"3617","s'","s' offrait en la","se VIMP en le","Flaubert-Bovary"
